#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent
126,Channel Islands,558,,45,,508,5,,"3,213",259,"5,342","30,757","173,685",Europe
127,Jamaica,534,+5,9,,181,344,,180,3,"9,178","3,101","2,959,765",North America
128,Nepal,516,+59,3,,70,443,1,18,0.1,"124,604","4,285","29,076,092",Asia
129,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,527,001",Africa
130,CAR,479,+43,,,18,461,,99,,"11,570","2,400","4,820,066",Africa
131,Congo,469,,16,,137,316,,85,3,,,"5,501,846",Africa
132,Réunion,449,,1,,411,37,2,502,1,"17,200","19,226","894,609",Africa
133,Madagascar,448,+43,2,,135,311,2,16,0.07,"5,670",205,"27,605,453",Africa
134,Taiwan,441,,7,,408,26,,19,0.3,"70,338","2,954","23,812,157",Asia
135,Ethiopia,433,+34,5,,128,300,,4,0.04,"73,205",639,"114,622,829",Africa
136,Palestine,423,,2,,346,75,,83,0.4,"44,876","8,821","5,087,326",Asia
137,Togo,363,+9,12,,121,230,,44,1,"14,767","1,789","8,255,653",Africa
138,Cabo Verde,362,+6,3,,95,264,,652,5,892,"1,606","555,311",Africa
139,Isle of Man,336,,24,,303,9,2,"3,954",282,"4,393","51,692","84,984",Europe
140,Mauritius,332,,10,,322,0,,261,8,"101,052","79,472","1,271,542",Africa
141,Montenegro,324,,9,,314,1,,516,14,"10,167","16,188","628,058",Europe
142,Vietnam,324,,,,267,57,2,3,,"275,000","2,828","97,241,403",Asia
143,Rwanda,321,+1,,,222,99,,25,,"55,968","4,334","12,913,795",Africa
144,Nicaragua,279,,17,,199,63,,42,3,,,"6,615,686",North America
145,French Guiana,261,+12,1,,141,119,,877,3,,,"297,751",South America
146,Sao Tome and Principe,251,,8,,4,239,,"1,148",37,175,800,"218,686",Africa
147,Liberia,249,+9,24,+1,136,89,,49,5,,,"5,043,542",Africa
148,Eswatini,225,+5,2,,119,104,,194,2,"4,994","4,310","1,158,822",Africa
149,Yemen,209,+12,33,,11,165,,7,1,120,4,"29,748,378",Asia
150,Mauritania,200,+27,6,+1,7,187,,43,1,"2,583",557,"4,634,928",Africa
151,Myanmar,199,,6,,116,77,,4,0.1,"17,152",315,"54,369,777",Asia
152,Martinique,197,+5,14,,91,92,,525,37,,,"375,296",North America
153,Faeroe Islands,187,,,,187,0,,"3,829",,"9,084","185,984","48,843",Europe
154,Uganda,175,+15,,,68,107,,4,,"81,682","1,793","45,562,477",Africa
155,Mozambique,164,+2,,,48,116,,5,,"7,480",240,"31,149,023",Africa
156,Guadeloupe,156,+1,13,,115,28,3,390,32,"3,573","8,930","400,117",North America
157,Gibraltar,151,,,,147,4,,"4,482",,"6,101","181,082","33,692",Europe
158,Brunei,141,,1,,136,4,2,323,2,"18,193","41,630","437,013",Asia
159,Mongolia,141,+1,,,28,113,27,43,,"12,153","3,714","3,272,228",Asia
160,Benin,135,,3,,61,71,,11,0.2,"26,792","2,217","12,084,945",Africa
161,Cayman Islands,129,+8,1,,61,67,,"1,965",15,"8,426","128,377","65,635",North America
162,Bermuda,128,+3,9,,81,38,2,"2,055",144,"5,784","92,838","62,302",North America
163,Guyana,127,,10,,57,60,3,162,13,"1,329","1,691","786,139",South America
164,Cambodia,123,,,,122,1,,7,,"15,830",948,"16,692,685",Asia
165,Trinidad and Tobago,116,,8,,108,0,,83,6,"2,835","2,026","1,398,999",North America
166,Aruba,101,,3,,95,3,4,946,28,"2,048","19,191","106,717",North America
167,Bahamas,97,,11,,44,42,1,247,28,"1,910","4,862","392,826",North America
168,Monaco,97,,4,,90,3,1,"2,474",102,,,"39,211",Europe
169,Barbados,90,,7,,70,13,4,313,24,"4,541","15,804","287,337",North America
170,Malawi,82,+10,3,,28,51,1,4,0.2,"2,411",126,"19,070,499",Africa
171,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,612","38,116",Europe
172,Comoros,78,+44,1,,18,59,,90,1,,,"867,421",Africa
173,Sint Maarten,77,,15,,59,3,1,"1,798",350,437,"10,205","42,821",North America
174,Libya,72,+1,3,,38,31,,10,0.4,"4,351",634,"6,860,692",Africa
175,Angola,60,+2,3,,17,40,,2,0.09,"6,136",187,"32,740,203",Africa
176,French Polynesia,60,,,,60,0,,214,,"3,686","13,130","280,731",Australia/Oceania
177,Syria,59,+1,4,+1,37,18,,3,0.2,,,"17,449,901",Asia
178,Zimbabwe,51,,4,,18,29,,3,0.3,"28,019","1,888","14,838,265",Africa
179,Macao,45,,,,45,0,,69,,,,"648,331",Asia
180,Burundi,42,,1,,20,21,,4,0.08,284,24,"11,847,387",Africa
181,Saint Martin,40,,3,,33,4,1,"1,037",78,,,"38,590",North America
182,Eritrea,39,,,,39,0,,11,,,,"3,540,846",Africa
183,Botswana,30,+1,1,,19,10,,13,0.4,"16,100","6,863","2,346,068",Africa
184,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,"1,870","97,839",North America
185,Gambia,25,+1,1,,13,11,,10,0.4,"1,476",613,"2,408,415",Africa
186,Timor-Leste,24,,,,24,0,,18,,738,561,"1,315,521",Asia
187,Grenada,22,,,,17,5,4,196,,"3,007","26,737","112,466",North America
188,Bhutan,21,,,,6,15,,27,,"14,843","19,260","770,656",Asia
189,Laos,19,,,,14,5,,3,,"5,044",694,"7,263,530",Asia
190,Namibia,19,+1,,,14,5,,7,,"2,681","1,057","2,535,571",Africa
191,Belize,18,,2,,16,0,,45,5,"1,435","3,617","396,791",North America
192,Fiji,18,,,,15,3,,20,,"1,300","1,451","895,730",Australia/Oceania
193,New Caledonia,18,,,,18,0,,63,,"5,454","19,124","285,193",Australia/Oceania
194,Saint Lucia,18,,,,18,0,,98,,867,"4,724","183,536",North America
195,St. Vincent Grenadines,18,,,,14,4,,162,,175,"1,578","110,902",North America
196,Curaçao,16,,1,,14,1,,98,6,504,"3,073","164,020",North America
197,Dominica,16,,,,16,0,,222,,433,"6,017","71,967",North America
198,Saint Kitts and Nevis,15,,,,15,0,,282,,391,"7,355","53,158",North America
199,Falkland Islands,13,,,,13,0,,"3,749",,426,"122,837","3,468",South America
200,Turks and Caicos,12,,1,,10,1,,310,26,109,"2,820","38,658",North America
201,Vatican City,12,,,,2,10,,"14,981",,,,801,Europe
202,Montserrat,11,,1,,10,0,,"2,204",200,36,"7,212","4,992",North America
203,Suriname,11,,1,,9,1,,19,2,404,689,"586,049",South America
204,Greenland,11,,,,11,0,,194,,"1,767","31,132","56,759",North America
205,Seychelles,11,,,,11,0,,112,,,,"98,280",Africa
206,MS Zaandam,9,,2,,,7,,,,,,0,
207,British Virgin Islands,8,,1,,6,1,,265,33,167,"5,528","30,209",North America
208,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,927,298",Australia/Oceania
209,Caribbean Netherlands,6,,,,6,0,,229,,424,"16,186","26,196",North America
210,St. Barth,6,,,,6,0,,608,,,,"9,874",North America
211,Western Sahara,6,,,,6,0,,10,,,,"595,583",Africa
212,Anguilla,3,,,,3,0,,200,,,,"14,988",North America
213,Lesotho,2,+1,,,,2,,0.9,,,,"2,140,374",Africa
214,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797",North America
215,China,"82,971",+4,"4,634",,"78,255",82,8,58,3,,,"1,439,323,776",Asia
