#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl
47,Kazakhstan,"114,826",+591,"1,857",,"107,339",+200,"5,630",221,"6,090",98,"3,645,655","193,357","18,854,495",Asia,164,"10,153",5
48,Guatemala,"110,502",+653,"3,794",+28,"100,319",+566,"6,389",5,"6,129",210,"451,077","25,019","18,029,415",North America,163,"4,752",40
49,Egypt,"108,754",+224,"6,343",+14,"100,106",+100,"2,305",41,"1,056",62,"135,000","1,311","102,997,143",Africa,947,"16,238",763
50,Japan,"104,782",+944,"1,806",+12,"95,756",+643,"7,220",189,829,14,"2,818,683","22,310","126,340,017",Asia,"1,206","69,956",45
51,Belarus,"104,286",+991,"1,001",+3,"89,555",+424,"13,730",,"11,038",106,"2,628,891","278,242","9,448,231",Europe,91,"9,439",4
52,Armenia,"101,773","+2,210","1,506",+30,"61,782","+1,647","38,485",,"34,323",508,"428,687","144,573","2,965,184",Asia,29,"1,969",7
53,Jordan,"101,248","+5,384","1,136",+67,"8,506",+170,"91,606",382,"9,889",111,"2,003,989","195,734","10,238,303",Asia,101,"9,013",5
54,Hungary,"99,625","+4,709","2,250",+103,"23,213",+390,"74,162",391,"10,322",233,"1,167,641","120,978","9,651,712",Europe,97,"4,290",8
55,Honduras,"99,347",+223,"2,736",+6,"42,574",+421,"54,037",24,"9,976",275,"231,650","23,261","9,958,901",North America,100,"3,640",43
56,Ethiopia,"98,746",+355,"1,512",+4,"58,103",+989,"39,131",332,852,13,"1,514,869","13,067","115,933,899",Africa,"1,174","76,676",77
57,Venezuela,"93,921",,819,,"88,701",,"4,401",117,"3,306",29,"2,168,642","76,340","28,407,554",South America,302,"34,686",13
58,Lebanon,"91,328","+2,142",700,+17,"45,820",,"44,808",274,"13,402",103,"1,302,138","191,079","6,814,657",Asia,75,"9,735",5
59,Bahrain,"83,023",+237,328,,"80,526",+352,"2,169",20,"48,228",191,"1,814,090","1,053,810","1,721,458",Asia,21,"5,248",1
60,Moldova,"80,501",+935,"1,882",+16,"60,220","+1,000","18,399",814,"19,972",467,"389,127","96,542","4,030,662",Europe,50,"2,142",10
61,Bulgaria,"72,184","+3,839","1,576",+58,"23,436",+727,"47,172",257,"10,416",227,"784,575","113,216","6,929,923",Europe,96,"4,397",9
