#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,newrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent,1_caseevery_x_ppl,1_deathevery_x_ppl,1_testevery_x_ppl,new_cases_1m_pop,new_deaths_1m_pop,active_cases_1m_pop
53,Singapore,"1,148,656","+3,535","1,309",+2,"1,076,802",,"70,545",13,"193,633",221,"23,611,604","3,980,283","5,932,142",Asia,5,"4,532",0,596,0.3,"11,892"
54,Bulgaria,"1,147,812",+647,"36,756",+16,"944,639",+990,"166,417",131,"167,430","5,362","9,724,468","1,418,499","6,855,465",Europe,6,187,1,94,2,"24,275"
55,Croatia,"1,110,989","+1,142","15,707",+5,"1,089,283",+467,"5,999",27,"273,625","3,868","4,731,537","1,165,328","4,060,263",Europe,4,259,1,281,1,"1,477"
56,Cuba,"1,098,114",+439,"8,519",,"1,087,352",+622,"2,243",23,"97,055",753,"12,920,253","1,141,938","11,314,325",North America,10,"1,328",1,39,,198
57,Lebanon,"1,095,099",+188,"10,353",+3,"1,074,880",+629,"9,866",186,"161,731","1,529","4,795,578","708,241","6,771,108",Asia,6,654,1,28,0.4,"1,457"
58,Lithuania,"1,045,085","+1,516","8,988",+6,"997,978","+2,735","38,119",47,"393,661","3,386","8,157,182","3,072,638","2,654,781",Europe,3,295,0,571,2,"14,359"
59,Tunisia,"1,038,668",,"28,509",,N/A,N/A,N/A,29,"86,279","2,368","4,547,755","377,769","12,038,468",Africa,12,422,3,,,"-1,134.28"
60,Slovenia,"992,497","+1,602","6,541",,"956,341",,"29,615",32,"477,289","3,146","2,630,208","1,264,860","2,079,446",Europe,2,318,1,770,,"14,242"
61,Nepal,"978,631",+15,"11,951",,"966,160",+49,520,,"32,547",397,"5,586,487","185,794","30,068,204",Asia,31,"2,516",5,0.5,,17
62,Belarus,"971,649",+899,"6,885",+3,"928,536",,"36,228",,"102,888",729,"12,987,175","1,375,207","9,443,797",Europe,10,"1,372",1,95,0.3,"3,836"
63,Finland,"920,692",,"3,334",,"46,000",,"871,358",33,"165,711",600,"10,512,930","1,892,168","5,556,023",Europe,6,"1,666",1,,,"156,831"
64,Bolivia,"903,584",+107,"21,899",,"850,086",+655,"31,599",220,"75,575","1,832","2,688,875","224,896","11,956,065",South America,13,546,4,9,,"2,643"
65,Uruguay,"894,984",+354,"7,188",+2,"884,907",+601,"2,889",31,"256,066","2,057","6,081,466","1,739,981","3,495,134",South America,4,486,1,101,0.6,827
66,UAE,"894,523",+237,"2,302",,"875,602",+486,"16,619",,"88,542",228,"151,396,113","14,985,514","10,102,831",Asia,11,"4,389",0,23,,"1,645"
67,Ecuador,"865,585",,"35,513",,N/A,N/A,N/A,759,"47,772","1,960","2,470,170","136,328","18,119,258",South America,21,510,7,,,"21,314"
68,Costa Rica,"844,892",,"8,357",,"825,599",,"10,936",44,"163,207","1,614","4,163,300","804,220","5,176,817",North America,6,619,1,,,"2,112"
69,Guatemala,"836,234",,"17,400",,"814,383",,"4,451",5,"45,191",940,"4,335,116","234,273","18,504,560",North America,22,"1,063",4,,,241
70,Latvia,"811,056","+1,139","5,695",+8,"791,297","+2,431","14,064",14,"438,614","3,080","7,114,713","3,847,596","1,849,132",Europe,2,325,0,616,4,"7,606"
71,New Zealand,"795,606","+9,548",497,+14,"729,800","+12,625","65,309",,"159,054",99,"6,959,067","1,391,229","5,002,100",Australia/Oceania,6,"10,065",1,"1,909",3,"13,056"
72,Azerbaijan,"792,305",+16,"9,704",+1,"782,416",+41,185,,"76,910",942,"6,755,203","655,740","10,301,650",Asia,13,"1,062",2,2,0.10,18
73,Panama,"767,438",,"8,178",,"757,024",,"2,236",9,"173,022","1,844","5,767,195","1,300,237","4,435,496",North America,6,542,1,,,504
74,Saudi Arabia,"752,188",+110,"9,062",+2,"738,011",+263,"5,115",66,"21,024",253,"41,704,690","1,165,666","35,777,569",Asia,48,"3,948",1,3,0.06,143
75,Sri Lanka,"662,748",+31,"16,494",+2,"642,530",+14,"3,724",,"30,721",765,"6,477,329","300,253","21,572,876",Asia,33,"1,308",3,1,0.09,173
76,Paraguay,"648,446",,"18,734",,"624,673",,"5,039",3,"88,971","2,570","2,615,453","358,857","7,288,285",South America,11,389,3,,,691
77,Kuwait,"630,641",,"2,555",,"626,843",,"1,243",4,"143,889",583,"7,948,416","1,813,533","4,382,834",Asia,7,"1,715",1,,,284
78,Myanmar,"612,460",+54,"19,434",,"591,139",+110,"1,887",,"11,124",353,"7,805,688","141,771","55,058,290",Asia,90,"2,833",7,1.0,,34
79,Palestine,"581,678",,"5,352",,"575,613",,713,17,"109,500","1,008","3,078,533","579,529","5,312,132",Asia,9,993,2,,,134
80,Dominican Republic,"578,626",,"4,375",,"574,132",,119,16,"52,406",396,"3,251,191","294,457","11,041,303",North America,19,"2,524",3,,,11
81,Estonia,"565,839",+627,"2,501",+3,"498,248","+1,498","65,090",6,"426,045","1,883","3,284,566","2,473,092","1,328,121",Europe,2,531,0,472,2,"49,009"
82,Bahrain,"561,525",+460,"1,473",,"555,813",+667,"4,239",3,"310,815",815,"9,662,134","5,348,183","1,806,620",Asia,3,"1,226",0,255,,"2,346"
83,Venezuela,"521,618",,"5,697",,"514,288",,"1,633",230,"18,436",201,"3,359,014","118,724","28,292,703",South America,54,"4,966",8,,,58
84,Moldova,"515,804",+155,"11,474",+3,"502,452",+261,"1,878",47,"128,396","2,856","3,192,777","794,758","4,017,295",Europe,8,350,1,39,0.7,467
85,Egypt,"511,977",,"24,522",,"442,182",,"45,273",122,"4,841",232,"3,693,367","34,921","105,764,659",Africa,207,"4,313",29,,,428
86,Libya,"501,834",,"6,429",,"490,837",,"4,568",101,"71,310",914,"2,475,203","351,722","7,037,385",Africa,14,"1,095",3,,,649
87,Ethiopia,"470,151",+43,"7,509",,"453,597",+11,"9,045",17,"3,917",63,"4,718,531","39,313","120,023,187",Africa,255,"15,984",25,0.4,,75
88,Mongolia,"469,236",+45,"2,177",,"313,256",,"153,803",192,"139,151",646,"4,030,048","1,195,106","3,372,126",Asia,7,"1,549",1,13,,"45,610"
89,Cyprus,"462,945","+1,414",989,+2,"124,370",,"337,586",60,"378,537",809,"9,477,138","7,749,186","1,222,985",Asia,3,"1,237",0,"1,156",2,"276,034"
90,Armenia,"422,711",+20,"8,621",,"410,387",+22,"3,703",,"142,179","2,900","3,005,711","1,010,972","2,973,090",Asia,7,345,1,7,,"1,246"
91,Honduras,"421,268",,"10,888",,"131,100",,"279,280",105,"41,363","1,069","1,263,329","124,043","10,184,606",North America,24,935,8,,,"27,422"
92,Oman,"388,763",+22,"4,257",+1,"383,809",+33,697,5,"72,838",798,"25,000,000","4,683,950","5,337,375",Asia,14,"1,254",0,4,0.2,131
93,Bosnia and Herzegovina,"376,339",+75,"15,744",+2,"192,218",,"168,377",,"115,991","4,852","1,747,008","538,445","3,244,542",Europe,9,206,2,23,0.6,"51,895"
94,Qatar,"363,139",+108,677,,"361,291",+153,"1,171",1,"129,332",241,"3,419,116","1,217,718","2,807,805",Asia,8,"4,147",1,38,,417
95,Réunion,"360,445",,731,,"342,442",,"17,272",10,"397,547",806,"1,603,660","1,768,732","906,672",Africa,3,"1,240",1,,,"19,050"
96,Kenya,"323,588",+5,"5,649",,"317,801",,138,,"5,791",101,"3,557,516","63,668","55,876,000",Africa,173,"9,891",16,0.09,,2
97,Zambia,"317,804",,"3,967",,"313,073",,764,,"16,468",206,"3,382,643","175,279","19,298,604",Africa,61,"4,865",6,,,40
98,North Macedonia,"308,152",+185,"9,256",,"297,724",+124,"1,172",,"147,921","4,443","1,988,999","954,771","2,083,222",Europe,7,225,1,89,,563
99,Botswana,"305,859",,"2,688",,"303,026",,145,1,"125,557","1,103","2,026,898","832,057","2,436,008",Africa,8,906,1,,,60
100,Albania,"274,320",+84,"3,494",,"270,474",+96,352,2,"95,508","1,216","1,789,363","622,992","2,872,210",Europe,10,822,2,29,,123
101,Algeria,"265,731",+1,"6,874",,"178,327",,"80,530",6,"5,871",152,"230,861","5,101","45,258,362",Africa,170,"6,584",196,0.02,,"1,779"
102,Nigeria,"255,633",,"3,142",,"249,825",,"2,666",11,"1,188",15,"4,977,858","23,129","215,217,370",Africa,842,"68,497",43,,,12
103,Zimbabwe,"247,160",+66,"5,460",,"240,754",+170,946,12,"16,210",358,"2,221,896","145,722","15,247,515",Africa,62,"2,793",7,4,,62
104,Uzbekistan,"238,145",+47,"1,637",,"236,057",+28,451,23,"6,937",48,"1,377,915","40,136","34,331,414",Asia,144,"20,972",25,1,,13
105,Montenegro,"233,908",+74,"2,708",,"230,749",+73,451,6,"372,342","4,311","2,435,107","3,876,281","628,207",Europe,3,232,0,118,,718
106,Luxembourg,"227,528","+1,189","1,052",+1,"211,131","+1,105","15,345",3,"353,261","1,633","4,195,400","6,513,797","644,079",Europe,3,612,0,"1,846",2,"23,825"
107,Mozambique,"225,304",+3,"2,200",,"223,058",,46,13,"6,867",67,"1,304,157","39,747","32,811,070",Africa,146,"14,914",25,0.09,,1
108,Kyrgyzstan,"200,970",,"2,991",,"196,303",,"1,676",131,"29,926",445,"1,907,195","283,998","6,715,512",Asia,33,"2,245",4,,,250
109,Laos,"198,318",+929,707,+5,"7,660",,"189,951",,"26,573",95,"1,230,778","164,912","7,463,224",Asia,38,"10,556",6,124,0.7,"25,452"
110,Iceland,"183,974",,110,,"75,685",,"108,179",1,"532,980",319,"1,953,616","5,659,702","345,180",Europe,2,"3,138",0,,,"313,399"
111,Maldives,"178,313",,298,,"163,687",,"14,328",25,"319,864",535,"2,213,831","3,971,247","557,465",Asia,3,"1,871",0,,,"25,702"
112,Afghanistan,"178,295",+38,"7,676",,"161,417",+54,"9,202","1,124","4,404",190,"932,483","23,032","40,486,198",Asia,227,"5,274",43,0.9,,227
113,Uganda,"164,024",+12,"3,596",,"100,200",,"60,228",,"3,395",74,"2,596,017","53,740","48,306,880",Africa,295,"13,434",19,0.2,,"1,247"
114,El Salvador,"162,089",,"4,124",,"150,662",,"7,303",8,"24,768",630,"1,950,448","298,033","6,544,392",North America,40,"1,587",3,,,"1,116"
115,Ghana,"161,071",,"1,445",,"159,592",,34,1,"4,998",45,"2,428,236","75,351","32,225,569",Africa,200,"22,301",13,,,1
116,Namibia,"157,896",,"4,021",,"153,069",,806,,"60,204","1,533","991,139","377,910","2,622,687",Africa,17,652,3,,,307
117,Martinique,"147,519",,918,,104,,"146,497",8,"393,649","2,450","828,928","2,211,961","374,748",North America,3,408,0,,,"390,921"
118,Trinidad and Tobago,"140,781",,"3,787",,"130,528",,"6,466",18,"100,019","2,691","682,714","485,039","1,407,545",North America,10,372,2,,,"4,594"
119,Guadeloupe,"140,130",,854,,"2,250",,"137,026",19,"350,110","2,134","938,039","2,343,656","400,246",North America,3,469,0,,,"342,354"
120,Brunei,"139,278",+217,216,,"136,663",+350,"2,399",1,"313,036",485,"717,784","1,613,266","444,926",Asia,3,"2,060",1,488,,"5,392"
121,Cambodia,"135,998",+18,"3,055",,"132,689",+23,254,,"7,939",178,"2,939,061","171,571","17,130,265",Asia,126,"5,607",6,1,,15
122,Rwanda,"129,755",+4,"1,458",,"45,522",,"82,775",1,"9,595",108,"5,178,134","382,922","13,522,679",Africa,104,"9,275",3,0.3,,"6,121"
123,Jamaica,"129,108",+15,"2,919",+2,"82,176",+82,"44,013",,"43,265",978,"957,157","320,747","2,984,146",North America,23,"1,022",3,5,0.7,"14,749"
124,Cameroon,"119,780",,"1,927",,"117,791",,62,13,"4,321",70,"1,751,774","63,196","27,719,914",Africa,231,"14,385",16,,,2
125,Angola,"99,194",,"1,900",,"97,149",,145,,"2,860",55,"1,499,795","43,244","34,682,277",Africa,350,"18,254",23,,,4
126,Malta,"87,441",+408,669,+2,"77,693",+702,"9,079",4,"197,102","1,508","1,847,584","4,164,658","443,634",Europe,5,663,0,920,5,"20,465"
127,DRC,"86,748",,"1,337",,"50,930",,"34,481",,919,14,"846,704","8,970","94,398,074",Africa,"1,088","70,604",111,,,365
128,Senegal,"85,954",+2,"1,965",,"83,970",+3,19,,"4,904",112,"1,057,173","60,314","17,527,848",Africa,204,"8,920",17,0.1,,1
129,Malawi,"85,713",+6,"2,628",,"81,889",+229,"1,196",67,"4,284",131,"567,431","28,360","20,008,204",Africa,233,"7,613",35,0.3,,60
130,Ivory Coast,"81,838",+4,797,,"81,004",+3,37,,"2,972",29,"1,485,035","53,925","27,538,854",Africa,337,"34,553",19,0.1,,1
131,French Guiana,"79,529",,394,,"11,254",,"67,881",4,"254,545","1,261","613,484","1,963,551","312,436",South America,4,793,1,,,"217,264"
132,Suriname,"79,276",+35,"1,325",,"49,395",+3,"28,556",,"133,019","2,223","235,707","395,497","595,977",South America,8,450,3,59,,"47,915"
133,French Polynesia,"72,570",,648,,N/A,N/A,N/A,7,"255,713","2,283",,,"283,795",Australia/Oceania,4,438,,,,"135,386"
134,Channel Islands,"72,213",+224,164,,"70,116",+177,"1,933",,"408,648",928,"1,252,269","7,086,497","176,712",Europe,2,"1,078",0,"1,268",,"10,939"
135,Eswatini,"70,048",+34,"1,395",,"68,567",+13,86,11,"59,286","1,181","1,008,368","853,451","1,181,519",Africa,17,847,1,29,,73
136,Fiji,"64,502",+3,862,,"62,662",+18,978,,"71,038",949,"506,083","557,364","907,994",Australia/Oceania,14,"1,053",2,3,,"1,077"
137,Madagascar,"64,089",,"1,390",,"59,355",,"3,344",14,"2,213",48,"415,532","14,351","28,955,799",Africa,452,"20,832",70,,,115
138,Guyana,"63,349",+9,"1,227",+1,"62,024",+19,98,1,"79,855","1,547","580,888","732,243","793,300",South America,13,647,1,11,1,124
139,Barbados,"62,968",,379,,"59,521",,"3,068",,"218,638","1,316","626,701","2,176,038","288,001",North America,5,760,0,,,"10,653"
